station,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20
1,2,1,2,1,2,2,1,1,2,2,1,1,1,1,2,1,1,1,1,1
2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1
3,2,2,2,1,2,2,2,1,2,1,1,1,2,1,1,2,1,2,2,1
4,1,2,2,2,2,3,2,2,2,2,2,3,2,3,2,2,3,2,2,1
5,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,3,3,1
6,1,2,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1
7,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
