station_gap,speed_1,speed_2,speed_3,speed_4,speed_5,speed_6,speed_7,speed_8,speed_9,speed_10,speed_11,speed_12,speed_13,speed_14,speed_15,speed_16,speed_17,speed_18,speed_19
1,7,7,7,6,5,5,5,5,4,4,4,4,5,5,5,6,6,6,6
2,5,5,3,3,3,4,4,2,4,4,4,4,5,5,5,5,5,5,5
3,5,5,4,3,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4
4,4,4,3,3,2,2,2,3,3,3,1,3,3,3,3,3,3,3,3
5,4,4,4,3,2,3,2,2,1,2,3,3,3,3,4,4,4,4,4
6,3,3,2,3,2,3,1,2,2,2,3,3,3,3,3,3,3,3,3
7,4,4,4,2,2,3,3,3,2,3,3,3,3,4,4,4,4,4,4
8,4,4,4,2,2,3,3,3,3,3,3,4,3,3,4,4,4,4,4
9,5,5,5,3,3,3,3,2,3,3,4,4,4,5,5,5,5,5,5
10,6,6,5,5,5,5,5,5,4,5,5,5,5,6,6,6,6,6,6
